DateTime,Open,High,Low,Close
2020-08-23 12:00:00,49507,49600,49506,49599
2020-08-23 13:00:00,49599,49599,49501,49501
2020-08-23 14:00:00,49501,49599,49500,49599
2020-08-23 15:00:00,49593,49593,49570,49593
2020-08-23 16:00:00,49592,49593,49502,49503
2020-08-23 17:00:00,49503,49503,49502,49503
2020-08-23 18:00:00,49502,49503,49326,49326
2020-08-23 19:00:00,49327,49327,49149,49154
2020-08-23 20:00:00,49155,49500,49155,49491
2020-08-23 21:00:00,49491,49491,49099,49388
2020-08-23 22:00:00,49465,49465,49104,49463
2020-08-23 23:00:00,49460,49469,49121,49400
2020-08-24 00:00:00,49397,49449,49397,49449
2020-08-24 01:00:00,49449,49469,49449,49469
2020-08-24 02:00:00,49469,49498,49469,49498
2020-08-24 03:00:00,49497,49498,49497,49498
2020-08-24 04:00:00,49498,49594,49498,49594
2020-08-24 05:00:00,49594,49594,49593,49594
2020-08-24 06:00:00,49593,49594,49593,49594
2020-08-24 07:00:00,49593,49599,49473,49592
2020-08-24 08:00:00,49589,49589,49531,49532
2020-08-24 09:00:00,49531,49532,49301,49402
2020-08-24 10:00:00,49459,49590,49400,49511
2020-08-24 11:00:00,49511,49600,49404,49600
2020-08-24 12:00:00,49599,49660,49599,49635
2020-08-24 13:00:00,49637,49659,49552,49552
2020-08-24 14:00:00,49553,49640,49552,49640
2020-08-24 15:00:00,49649,49750,49649,49749
2020-08-24 16:00:00,49749,49800,49748,49755
2020-08-24 17:00:00,49799,49800,49690,49799
2020-08-24 18:00:00,49799,49846,49719,49846
2020-08-24 19:00:00,49846,49999,49695,49863
2020-08-24 20:00:00,49847,49997,49729,49855
2020-08-24 21:00:00,49854,49950,49852,49854
2020-08-24 22:00:00,49853,49949,49716,49716
2020-08-24 23:00:00,49780,49850,49500,49700
2020-08-25 00:00:00,49701,49830,49601,49701
2020-08-25 01:00:00,49701,49701,49700,49700
2020-08-25 02:00:00,49701,49701,49700,49700
2020-08-25 03:00:00,49701,49719,49701,49719
2020-08-25 04:00:00,49718,49719,49718,49718
2020-08-25 05:00:00,49718,49800,49557,49744
2020-08-25 06:00:00,49744,49799,49742,49742
2020-08-25 07:00:00,49743,49799,49500,49513
2020-08-25 08:00:00,49513,49786,49513,49727
2020-08-25 09:00:00,49682,49800,49681,49800
2020-08-25 10:00:00,49800,49800,49450,49450
2020-08-25 11:00:00,49450,49516,49353,49402
2020-08-25 12:00:00,49402,49402,49315,49368
2020-08-25 13:00:00,49368,49500,49352,49352
2020-08-25 14:00:00,49352,49352,49178,49179
2020-08-25 15:00:00,49179,49200,49075,49160
2020-08-25 16:00:00,49160,49160,49011,49156
2020-08-25 17:00:00,49155,49293,49000,49018
2020-08-25 18:00:00,49019,49488,49019,49487
2020-08-25 19:00:00,49354,49489,49125,49399
2020-08-25 20:00:00,49398,49399,48800,48950
2020-08-25 21:00:00,48939,48950,48600,48883
2020-08-25 22:00:00,48882,48882,48499,48595
2020-08-25 23:00:00,48595,48595,48303,48445
2020-08-26 00:00:00,48445,48681,48444,48648
2020-08-26 01:00:00,48519,48855,48100,48100
2020-08-26 02:00:00,48100,48100,48000,48100
2020-08-26 03:00:00,48100,48199,48100,48199
2020-08-26 04:00:00,48120,48485,48000,48415
2020-08-26 05:00:00,48441,48478,48042,48149
2020-08-26 06:00:00,48477,48490,48290,48484
2020-08-26 07:00:00,48469,48498,48291,48470
2020-08-26 08:00:00,48451,48472,48290,48291
2020-08-26 09:00:00,48348,48348,48100,48290
2020-08-26 10:00:00,48291,48350,48291,48348
2020-08-26 11:00:00,48348,48500,48340,48499
2020-08-26 12:00:00,48499,48525,48350,48517
2020-08-26 13:00:00,48460,48460,48400,48451
2020-08-26 14:00:00,48459,48459,48195,48383
2020-08-26 15:00:00,48211,48459,48211,48457
2020-08-26 16:00:00,48345,48490,48345,48490
2020-08-26 17:00:00,48490,48490,48395,48463
2020-08-26 18:00:00,48463,48838,48011,48399
2020-08-26 19:00:00,48399,48777,48000,48531
2020-08-26 20:00:00,48531,48694,48000,48091
2020-08-26 21:00:00,48091,48484,48001,48119
2020-08-26 22:00:00,48360,48510,48112,48484
2020-08-26 23:00:00,48500,48590,48499,48590
2020-08-27 00:00:00,48590,48700,48499,48699
2020-08-27 01:00:00,48699,48699,48698,48699
2020-08-27 02:00:00,48698,48699,48698,48698
2020-08-27 03:00:00,48699,48699,48699,48699
2020-08-27 04:00:00,48699,48699,48699,48699
2020-08-27 05:00:00,48699,48699,48499,48560
2020-08-27 06:00:00,48643,48699,48501,48693
2020-08-27 07:00:00,48684,48699,48554,48592
2020-08-27 08:00:00,48592,48800,48535,48763
2020-08-27 09:00:00,48762,48844,48554,48836
2020-08-27 10:00:00,48635,48809,48491,48699
2020-08-27 11:00:00,48699,48798,48491,48492
2020-08-27 12:00:00,48492,48788,48300,48367
2020-08-27 13:00:00,48367,48779,48152,48152
2020-08-27 14:00:00,48240,48480,48152,48480
2020-08-27 15:00:00,48479,48480,48186,48411
2020-08-27 16:00:00,48419,48420,48200,48419
2020-08-27 17:00:00,48419,48420,48211,48420
2020-08-27 18:00:00,48420,48420,48263,48388
2020-08-27 19:00:00,48388,48388,48230,48231
2020-08-27 20:00:00,48230,48299,48100,48289
2020-08-27 21:00:00,48288,48560,48280,48471
2020-08-27 22:00:00,48470,48470,48000,48144
2020-08-27 23:00:00,48100,48290,48000,48181
2020-08-28 00:00:00,48180,48242,48002,48008
2020-08-28 01:00:00,48008,48008,47888,47888
2020-08-28 02:00:00,47851,47949,47800,47935
2020-08-28 03:00:00,47935,47935,47800,47887
2020-08-28 04:00:00,47857,47857,47800,47801
2020-08-28 05:00:00,47800,47856,47699,47758
2020-08-28 06:00:00,47801,47899,47801,47898
2020-08-28 07:00:00,47899,47900,47801,47900
2020-08-28 08:00:00,47900,48334,47800,47979
2020-08-28 09:00:00,47979,48395,47816,48294
2020-08-28 10:00:00,48292,48400,48017,48399
2020-08-28 11:00:00,48399,48400,48310,48356
2020-08-28 12:00:00,48356,48390,48306,48354
2020-08-28 13:00:00,48353,48380,48290,48352
2020-08-28 14:00:00,48353,48380,48336,48354
2020-08-28 15:00:00,48354,48354,48150,48164
2020-08-28 16:00:00,48162,48354,48160,48353
2020-08-28 17:00:00,48354,48354,48353,48354
2020-08-28 18:00:00,48353,48354,48345,48354
2020-08-28 19:00:00,48353,48449,48353,48449
2020-08-28 20:00:00,48448,48449,48400,48427
2020-08-28 21:00:00,48439,48521,48370,48521
2020-08-28 22:00:00,48532,48649,48376,48579
2020-08-28 23:00:00,48579,48650,48527,48649
2020-08-29 00:00:00,48650,48700,48650,48700
2020-08-29 01:00:00,48699,48700,48376,48450
